0->00,"150,50,100"
00,"第2年收益:0.000元"
00->000,"50,150"
000,"第3年收益:144.311元"
000->0000,"5年期"
0000,"第4年收益:46.889元"
0000->00000,"5年期"
00000,"第5年收益:46.889元"
00000->000000,"5年期"
000000,"第6年收益:88.235元"
000000->0000000,"5年期"
0000000,"第7年收益:132.352元"
00->001,"100,100"
001,"第3年收益:144.311元"
001->0010,"5年期"
0010,"第4年收益:46.889元"
0010->00100,"5年期"
00100,"第5年收益:140.666元"
00100->001000,"5年期"
001000,"第6年收益:88.235元"
001000->0010000,"5年期"
0010000,"第7年收益:220.587元"
0->01,"100,100,100"
01,"第2年收益:0.000元"
01->010,"50,150"
010,"第3年收益:96.207元"
010->0100,"5年期"
0100,"第4年收益:93.777元"
0100->01000,"5年期"
01000,"第5年收益:46.889元"
01000->010000,"5年期"
010000,"第6年收益:88.235元"
010000->0100000,"5年期"
0100000,"第7年收益:132.352元"
01->011,"100,100"
011,"第3年收益:96.207元"
011->0110,"5年期"
0110,"第4年收益:93.777元"
0110->01100,"5年期"
01100,"第5年收益:140.666元"
01100->011000,"5年期"
011000,"第6年收益:88.235元"
011000->0110000,"5年期"
0110000,"第7年收益:220.587元"
0,"第1年收益:0.000元"
